GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
auth-service,com.example.authservice,AuthServiceApplication,0,8,0,0,0,3,0,2,0,2
auth-service,com.example.authservice.dto,RevokeTokenRequest,0,16,0,0,0,8,0,4,0,4
auth-service,com.example.authservice.dto,AuthResponse,19,27,0,0,10,10,5,5,5,5
auth-service,com.example.authservice.dto,RefreshTokenRequest,0,16,0,0,0,8,0,4,0,4
auth-service,com.example.authservice.dto,AuthRequest,0,36,0,0,0,16,0,8,0,8
auth-service,com.example.authservice.exception,InvalidApiKeyException,4,4,0,0,2,2,1,1,1,1
auth-service,com.example.authservice.exception,RateLimitExceededException,4,4,0,0,2,2,1,1,1,1
auth-service,com.example.authservice.exception,GlobalExceptionHandler,76,107,0,0,15,23,3,6,3,6
auth-service,com.example.authservice.exception,TokenRevokedException,4,4,0,0,2,2,1,1,1,1
auth-service,com.example.authservice.exception,InvalidTokenException,4,4,0,0,2,2,1,1,1,1
auth-service,com.example.authservice.service,ApiKeyValidator,0,100,1,21,0,25,1,15,0,5
auth-service,com.example.authservice.service,AuthenticationService,0,230,0,8,0,53,0,10,0,6
auth-service,com.example.authservice.service,TokenService,17,220,2,10,5,67,2,15,0,11
auth-service,com.example.authservice.service,RateLimiterService,0,79,0,4,0,22,0,8,0,6
auth-service,com.example.authservice.config,ApiKeyConfig,0,24,0,0,0,10,0,7,0,7
auth-service,com.example.authservice.config,SecurityConfig,0,126,3,3,0,25,3,7,0,7
auth-service,com.example.authservice.config,CorsConfig,0,38,0,0,0,16,0,11,0,11
auth-service,com.example.authservice.config,RateLimitConfig,0,24,0,0,0,10,0,7,0,7
auth-service,com.example.authservice.config,JwtConfig,0,24,0,0,0,10,0,7,0,7
auth-service,com.example.authservice.controller,AuthController,17,89,8,4,3,24,6,8,0,8
auth-service,com.example.authservice.controller,StatusController,6,3,0,0,1,1,1,1,1,1
